recno,Name,Vmag,SpType,n_Name,Teff,e_Teff,E_Teff,logg,e_logg,E_logg,[M/H],e_[M/H],E_[M/H],SMR,_RA,_DE,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
89,HD 282035,11.24,G2V," ",5985,55,45,3.95,0.3,0.25,0.14,0.06,0.06," ",65.89252,30.05057,144060658923981428,65.8924542,30.05053857,0.154,0.05,90.0,1141006336,136,55440.87755787,5,46,11.802,,,,114788,11.258,,,,32868,11.008,,,,65636,10.869,,,,65636,10.817,,,,65636,0.234187
90,HD 27835,8.2,G0V," ",5935,40,55,4.4,0.2,0.25,0.08,0.06,0.04," ",66.05327,16.37893,127650660536105128,66.0532863,16.37892382,0.0,0.0,90.0,268959744,32,51969.70375,0,3,8.7272,0.0734,12.1549,0.0842,80,,,,,64,,,,,64,,,,,64,7.7212,0.001,10.3443,0.001,88,0.060535
91,HD 27834,8.63,G2V," ",6415,40,35,4.5,0.2,0.2,-0.08,0.02,0.02," ",66.0607,16.40159,127680660606472275,66.06079017,16.40150897,0.001,0.001,90.0,1140924416,136,50727.42459491,8,7,8.76,,,,114788,8.564,,,,98404,8.527,,,,114788,8.543,,,,68,8.56,,,,98404,0.426691
92,HD 28821,7.61,G3V," ",5690,140,120,4.35,0.55,0.7,0.06,0.18,0.1," ",68.08947,-5.039,101950680893603853,68.089462,-5.038981,0.053,0.053,90.0,1409359872,168,51081.39059028,1,6,8.5381,0.0751,11.8597,0.0644,16,8.8189,0.1913,11.5309,0.0311,24,,,,,0,,,,,114720,6.6346,0.0,10.9038,0.0,24,0.074173
93,HD 29714,9.32,G2V," ",5825,80,35,4.4,0.35,0.2,-0.02,0.06,0.04," ",70.42759,22.62328,135140704284078272,70.42797021,22.62302924,0.001,0.001,90.0,1343750144,160,55756.75241898,1,5,,,,,24,,,13.3873,0.0013,24,8.3951,0.0581,12.9632,0.0669,24,,,,,0,,,,,114720,1.552806
94,BD+45 978,9.27,G2V," ",5825,55,65,4.2,0.25,0.3,0.02,0.06,0.08," ",70.94109,46.10536,163320709408886872,70.94110238,46.10532517,0.0,0.0,90.0,268959744,32,51977.7130787,0,19,9.4727,0.1021,12.9387,0.0578,88,8.7047,0.0442,12.9902,0.008,88,8.1818,0.001,13.1278,0.001,88,8.4914,0.2522,11.7146,0.0548,88,9.0241,0.1844,10.5675,0.1216,88,0.129139
95,HD 283886,9.88,G2V," ",5920,70,50,4.3,0.35,0.25,0.04,0.06,0.04," ",72.75263,24.12266,136940727528347678,72.75282463,24.12228442,0.017,0.017,90.0,1409441792,168,55631.18444444,3,30,10.522,,,,114788,10.102,,,,114788,9.909,,,,68,9.798,,,,68,9.753,,,,114788,1.495687
96,HD 283921,10.37,G0V," ",6145,65,70,4.3,0.35,0.35,0.1,0.06,0.06," ",72.938,26.86228,140230729379455314,72.93797038,26.86216184,0.001,0.001,90.0,1409441792,168,51188.92671296,1,49,10.611,,,,114788,10.265,,,,68,10.14,,,,68,10.095,,,,68,10.086,,,,68,0.435883
97,HD 284013,10.38,G2V," ",5880,50,60,4.6,0.2,0.25,0.14,0.04,0.06," ",74.44382,25.71813,138860744436402042,74.4437956,25.71789227,0.001,0.001,90.0,1107374080,132,56605.63585648,5,53,11.1301,0.044,12.3963,0.0705,32888,10.7292,0.0344,12.7307,0.0719,65656,10.44,0.0453,12.6224,0.0805,32888,10.2595,0.0011,10.3424,0.0012,115832,10.1896,0.0751,11.0825,0.0576,65656,0.859479
98,HD 31867,8.05,G2V," ",5590,50,65,4.4,0.2,0.3,-0.1,0.06,0.06," ",75.07301,25.13644,138160750733004522,75.07329126,25.13646234,0.001,0.001,90.0,1343750144,160,55894.33858796,3,15,8.5324,0.1517,12.3846,0.0207,114808,8.2281,0.001,12.3381,0.001,114808,7.3378,0.001,11.9125,0.001,88,7.6352,0.001,11.4094,0.001,80,7.6877,0.2304,10.3171,0.0055,88,0.920169
99,HD 33344,8.82,G2V," ",5905,40,35,4.0,0.2,0.15,0.1,0.04,0.04," ",77.42549,1.93206,110310774253598448,77.4254198,1.931825,0.151,0.151,90.0,310456320,37,55235.2249537,0,11,12.4565,0.001,11.3308,0.001,16777232,,,,,0,8.4392,0.0708,11.9709,0.1341,24,12.6989,,11.0787,0.2198,24,10.7416,0.0083,9.404,0.0456,16778264,0.882899
100,HD 33490,9.19,G3V," ",5790,85,105,3.6,0.45,0.55,0.12,0.12,0.18," ",77.67639,2.07646,110490776764932128,77.676376,2.076449,0.051,0.051,90.0,1409359872,168,51566.15899306,4,33,9.42,,,,114788,9.09,,,,114788,8.994,,,,114788,8.982,,,,114788,8.982,,,,68,0.06407
101,HD 290084,9.7,G2V," ",5310,45,40,3.15,0.2,0.15,-0.1,0.08,0.06," ",78.34619,-0.70259,107150783460917761,78.34599136,-0.70232303,0.037,0.037,90.0,277348352,33,56896.71743056,0,3,,,,,0,8.9,0.0914,12.4388,0.1008,24,,,,,0,,,,,0,12.003,0.0012,10.5635,0.001,16777240,1.197913
102,BD+44 1136,9.95,G0V," ",6045,40,60,4.7,0.2,0.25,-0.18,0.02,0.04," ",78.48952,44.71763,161660784894221613,78.48957538,44.71746174,0.001,0.001,90.0,1343750144,160,56202.50636574,1,34,10.4611,0.0647,12.1707,0.039,114808,9.3074,0.0471,12.8409,0.0218,88,9.6511,0.0363,12.4866,0.1554,88,9.723,0.1066,12.2948,0.2819,88,9.7275,0.1049,11.0524,0.1141,88,0.622082
103,BD+46 982,9.67,G2V," ",5640,65,35,4.0,0.3,0.1,0.08,0.06,0.06," ",78.68132,46.75162,164100786815682428,78.6813,46.75161,0.049,0.049,90.0,1409359872,168,51462.40549769,5,29,9.906,,,,114788,9.487,,,,114788,9.361,,,,114788,9.329,,,,114788,9.31,,,,114788,0.061071
104,HD 242036,10.12,G0V," ",6290,25,50,4.5,0.1,0.25,-0.28,0.02,0.04," ",78.87891,15.69887,126830788788028871,78.87896274,15.69871604,0.001,0.001,90.0,1343750144,160,56055.62709491,5,48,10.691,0.0735,12.038,0.0999,114808,10.3758,0.0014,10.7403,0.0013,118904,10.0151,0.1241,13.2345,0.142,114808,9.9143,0.0592,12.4498,0.1339,114808,9.9388,0.0729,10.6416,0.0346,114808,0.583617
105,Parenago 2328,11.7,G3V," ",5525,80,120,4.2,0.35,0.5,-0.14,0.12,0.16," ",84.02629,-5.69906,101160840263061541,84.02630462,-5.69907326,0.094,0.055,90.0,1141170176,136,54351.28700231,3,64,12.239,,,,114724,11.604,,,,32804,11.352,,,,16420,11.222,,,,16420,11.151,,,,114724,0.070863
106,BD+44 1305,10.88,G2V," ",6170,50,45,4.6,0.25,0.2,-0.16,0.02,0.04," ",88.39264,44.5443,161450883925123331,88.39264003,44.54427637,0.0,0.0,90.0,268959744,32,51989.12996528,0,7,11.0326,0.001,12.7287,0.001,88,,,,,64,12.0083,,12.8337,0.0669,88,,,,,64,,,,,64,0.085068
107,HD 250118,11.33,G0V," ",5780,50,95,3.8,0.25,0.5,-0.18,0.06,0.1," ",90.05299,22.34026,134800900529578730,90.05300923,22.34022392,0.247,0.114,90.0,1409605632,168,55093.36678241,2,39,11.534,,,,114788,11.234,,,,16484,11.159,,,,16484,11.163,,,,16484,11.17,,,,114788,0.144814
108,HD 257595,10.23,G0V," ",6050,65,45,4.2,0.3,0.25,-0.08,0.06,0.04," ",97.11414,28.33225,141990971140849390,97.11416945,28.3321329,0.001,0.001,90.0,1409441792,168,51023.78836806,2,20,10.479,,,,68,10.093,,,,114788,9.972,,,,68,9.944,,,,114788,9.93,,,,68,0.431766
109,HD 257880,10.46,G2V," ",5830,35,75,4.0,0.15,0.35,0.04,0.04,0.1," ",97.32333,29.93667,143920973232584562,97.32335045,29.93663677,647.399,43.347,90.0,604135424,72,53531.47429398,5,55,10.741,,,,65636,10.293,,,,65636,10.092,,,,65636,9.982,,,,114788,9.946,,,,114788,0.135576
110,HD 46869,8.7,G0V," ",5730,55,45,4.55,0.25,0.2,-0.04,0.06,0.04," ",98.96982,3.3383,112000989701986161,98.96984109,3.3382783,0.0,0.0,90.0,268959744,32,52008.15010417,0,19,9.1341,0.1351,12.2567,0.1856,88,8.891,0.001,13.0433,0.001,88,8.6615,0.0165,11.6184,0.1693,88,8.6672,0.0868,,,88,8.3354,0.1902,10.1525,0.0375,88,0.108847
111,HD 292539,9.15,G0V," ",6230,35,45,4.75,0.15,0.25,-0.32,0.02,0.02," ",103.37438,0.29393,108351033740893212,103.37424668,0.29404534,0.001,0.001,90.0,570503168,68,55997.24105324,4,14,8.9574,0.2038,12.5807,0.0506,16440,9.0062,0.0,11.7677,0.0,32824,,,,,32800,8.5846,7.0E-4,11.7269,0.0303,32824,9.2274,0.001,9.2017,0.001,115760,0.634633
112,HD 289422,9.98,G0V," ",6130,35,45,3.8,0.25,0.25,0.04,0.04,0.06," ",104.59805,1.85788,110221045979259779,104.59801352,1.85786373,10.592,10.132,0.0,1409441792,168,53959.20309028,3,53,10.145,,,,114788,9.871,,,,68,9.779,,,,114788,9.746,,,,114788,9.739,,,,68,0.143734
113,HD 56513,8.07,G2V," ",5560,80,70,4.15,0.35,0.3,-0.6,0.08,0.06," ",109.62029,27.25285,140701096205573267,109.62031061,27.2527977,0.0,0.0,90.0,268959744,32,52006.89582176,0,13,8.5954,0.0139,11.3714,0.0115,88,8.4575,0.1784,11.7807,0.0206,88,8.0729,0.0628,,,88,6.6525,0.001,12.5519,0.001,88,7.6221,0.001,9.7719,0.001,88,0.1995
114,HD 60298,7.4,G2V," ",5655,55,75,4.0,0.25,0.35,-0.24,0.06,0.08," ",113.71004,24.95447,137941137105764696,113.71019042,24.95430727,0.001,0.001,90.0,538443776,64,55914.38359954,1,7,8.1942,0.001,11.9393,0.001,120,,,,,96,7.4152,0.0219,10.6138,0.0465,120,7.1618,0.0,10.3096,0.0,120,5.9924,0.2249,9.492,0.1101,32880,0.764353
115,HD 60803,5.92,G0V," ",5780,75,80,3.4,0.4,0.4,-0.28,0.08,0.1," ",114.14461,5.86217,115031141440915245,114.14457261,5.86217927,0.0,0.0,90.0,268959744,32,52026.32951389,0,3,,,,,64,7.6676,0.001,10.2456,0.0011,80,,,,,64,,,,,64,4.8297,0.0,9.0583,0.0,88,0.137996
116,HD 62549,7.72,G1V," ",5800,100,110,3.8,0.6,0.65,-0.22,0.08,0.12," ",116.08227,-5.05495,101931160822105248,116.08226059,-5.05488568,0.0,0.0,90.0,268959744,32,51983.12210648,0,8,8.4785,0.001,11.1721,0.001,88,8.1313,0.001,12.4397,0.001,80,,,,,64,7.4154,0.0,10.8536,0.0,88,7.4975,0.008,9.2715,0.0512,88,0.233998
117,BD-04 2150,9.5,G2V," ",5630,50,60,4.1,0.25,0.3,-0.2,0.06,0.06," ",119.19089,-4.60539,102471191908084118,119.190996,-4.605368,0.059,0.059,90.0,1409359872,168,51190.1775,2,20,9.765,,,,68,9.376,,,,68,9.27,,,,114788,9.255,,,,68,9.241,,,,114788,0.388526
118,BD+00 2144,9.78,G0V," ",6175,45,50,3.75,0.3,0.3,-0.18,0.04,0.04," ",119.64858,0.0365,108041196482354739,119.64846474,0.03678631,0.015,0.015,90.0,302063616,36,55868.38416667,0,18,11.446,0.057,11.9589,0.0792,24,10.1666,0.1123,12.6262,0.0114,24,11.9637,0.002,,,4120,13.5271,0.0016,13.1458,0.0013,24,10.7486,0.001,10.2287,0.001,16778264,1.111102
119,BD+48 1646,8.93,G2V," ",5810,35,65,3.65,0.2,0.4,-0.1,0.04,0.08," ",127.14427,47.70403,165241271445025564,127.14430428,47.7040547,0.026,0.026,90.0,1409441792,168,54565.68944444,5,22,9.281,,,,114788,8.904,,,,114788,8.758,,,,114788,8.699,,,,114788,8.682,,,,114788,0.121671
120,BD+47 1586,9.55,G2V," ",5575,60,40,4.75,0.2,0.15,-0.18,0.06,0.04," ",127.87712,47.13551,164561278769203091,127.87717201,47.13549943,0.0,0.0,90.0,268959744,32,51990.16974537,0,12,11.11,0.0,11.9017,0.0,88,9.4397,0.2078,13.0463,0.0019,88,8.796,0.0148,12.3141,0.0689,80,8.9187,0.1041,10.9876,0.0068,88,8.1957,0.001,11.0433,0.0016,88,0.132933
121,HD 73708,9.51,G2V," ",5705,55,55,4.65,0.2,0.3,-0.12,0.06,0.04," ",130.09588,20.82664,132991300962472164,130.09589493,20.82660633,0.0,0.0,90.0,268959744,32,51985.61934028,0,12,,,,,64,9.5035,0.0664,12.8169,0.0633,88,,,,,64,13.4084,0.0016,11.4958,0.001,88,10.8087,0.1029,10.3868,0.028,88,0.13121
122,BD+29 2061,9.4,G0V," ",6320,45,30,4.05,0.25,0.15,0.1,0.04,0.02," ",158.37856,28.87415,142641583784339495,158.37857507,28.87405211,0.001,0.001,90.0,1409359872,168,50873.30989583,5,6,9.555,,,,114788,9.352,,,,114788,9.302,,,,114788,9.3,,,,114788,9.3,,,,114788,0.355592
123,HD 100180,6.2,F9.5V," ",5995,50,60,4.5,0.2,0.3,0.06,0.04,0.06," ",172.93727,14.3645,125231729375177566,172.9374708,14.36415587,0.015,0.015,90.0,276901888,33,55870.19289352,0,7,,,,,0,10.2571,,,,24,,,,,0,12.6649,0.0255,10.9919,0.001,16777240,12.0859,0.0,9.1361,0.0,16777240,1.423091
124,HD 105898,7.5,G6III-IV,*,5250,55,60,3.0,0.2,0.0,-0.4,0.08,0.1," ",182.8133,24.75358,137701828129844843,182.81328026,24.75357024,0.0,0.0,90.0,268959744,32,51999.5496875,0,11,7.8521,0.0622,12.825,0.0025,88,7.3241,0.0109,10.9204,0.001,88,,,,,64,6.5833,0.001,11.6723,0.001,88,6.2123,0.1394,9.3369,0.0395,88,0.073479
125,HD 110882,8.87,G1V," ",5880,45,55,4.4,0.2,0.3,-0.28,0.04,0.04," ",191.27012,27.74727,141291912699777583,191.27010011,27.74729324,0.0,0.0,90.0,268959744,32,51997.81640046,0,20,9.2898,0.0628,12.8141,0.0343,88,9.3065,0.0079,12.7932,0.0356,88,8.2815,0.0999,,,88,8.761,0.0055,11.221,0.0179,88,7.5974,0.001,11.2775,0.001,88,0.104955
126,HD 110884,9.11,G3V," ",5905,85,90,4.3,0.4,0.4,-0.26,0.08,0.08," ",191.29186,27.33278,140791912920489599,191.29187968,27.3327715,0.0,0.0,90.0,268959744,32,51996.03510417,0,27,9.76,0.1736,12.4384,0.0523,88,8.1135,0.0777,12.0685,0.1517,88,9.0575,0.0821,12.1496,0.1424,80,8.9782,0.0064,11.3774,0.0167,88,9.6377,0.0241,10.506,0.0568,88,0.069983
127,HD 111540,9.54,G1V," ",5840,50,45,4.2,0.3,0.2,0.14,0.06,0.04," ",192.43194,29.15606,142981924318487566,192.431928,29.156048,0.052,0.052,90.0,335618048,40,51545.46359954,0,22,10.1051,0.0164,12.3508,0.0383,88,9.6467,0.1089,12.3507,0.2099,88,9.9535,0.0,11.8024,0.0,88,9.7145,0.0191,11.4891,0.0254,88,9.6322,0.0364,10.933,0.0295,80,0.057354
128,HD 123758,9.14,G0V," ",6105,40,70,4.5,0.2,0.35,0.04,0.04,0.08," ",212.20545,32.9494,147542122053430244,212.20516616,32.94954257,0.001,0.001,90.0,1075314688,128,56035.14122685,9,18,9.8544,0.001,11.0707,0.001,114800,9.5253,0.0521,12.4462,0.0379,98424,8.6034,0.1788,12.558,0.1902,98424,8.8022,0.167,,,114808,8.9426,0.1192,10.3711,0.0498,98424,0.999336
129,HD 124019,8.56,G2V," ",5685,50,65,4.65,0.25,0.25,-0.18,0.06,0.06," ",212.61223,27.63261,141152126123249624,212.612219,27.632618,0.052,0.052,90.0,1409359872,168,51554.50278935,3,11,8.779,,,,114788,8.392,,,,114788,8.286,,,,68,8.27,,,,68,8.255,,,,114788,0.04539
130,HD 126991,7.9,G2V," ",5360,120,95,3.15,0.65,0.15,-0.34,0.16,0.12," ",217.06688,24.51754,137422170660212338,217.06684308,24.51757243,0.0,0.0,90.0,268959744,32,51991.62836806,0,5,8.1175,0.1484,,,88,8.1369,0.0104,,,88,,,,,64,7.1821,0.001,11.0662,0.001,88,,,,,64,0.168088
131,HD 127913,9.14,G2V," ",5475,70,60,4.45,0.2,0.2,-0.12,0.08,0.08," ",218.46454,2.57562,111092184640491145,218.46451198,2.57562244,0.0,0.0,90.0,268959744,32,51975.84738426,0,10,9.4772,0.001,13.7686,0.001,88,8.8219,0.001,12.5066,0.001,80,,,,,64,8.5598,0.052,11.9393,0.0149,88,10.1699,,,,88,0.101152
132,HD 129357,7.83,G2V," ",5775,50,55,4.3,0.2,0.25,-0.14,0.04,0.06," ",220.34331,29.05881,142872203433270597,220.34329351,29.05877191,0.0,0.0,90.0,268959744,32,51999.52728009,0,3,,,,,64,,,,,64,8.0032,0.0199,15.7587,0.0035,88,,,,,64,7.9774,0.1072,9.014,0.0756,80,0.146614
133,HD 133623,10.11,G2V," ",5880,65,65,4.3,0.3,0.35,-0.08,0.06,0.06," ",226.26327,15.05652,126062262628758236,226.26324798,15.05652449,0.0,0.0,90.0,268959744,32,51983.75109954,0,11,10.2429,0.0214,13.3016,0.0829,88,8.564,0.034,13.0316,0.0526,88,8.3918,0.0121,12.8116,0.3012,88,8.4794,0.0662,12.2403,0.1853,88,10.3585,0.001,11.6084,0.001,80,0.078239
134,HD 135145,8.35,G0V," ",5935,80,85,4.4,0.4,0.5,-0.08,0.06,0.08," ",228.19892,27.92655,141512281986902795,228.19865608,27.92685289,0.024,0.024,90.0,276901888,33,55700.46826389,0,5,13.9698,0.0,12.3032,0.0,16777240,,,,,0,13.7516,0.0012,12.3985,0.001,16781336,,,,,0,13.2214,0.0022,,,24,1.376114
135,HD 135633,8.46,G0V," ",6095,65,70,4.25,0.35,0.45,0.22,0.06,0.06,*,228.8634,22.54927,135052288633109916,228.86319393,22.54952594,0.08,0.08,90.0,268959744,32,55895.87796296,0,17,9.4394,0.1757,11.9352,0.01,24,,,,,0,8.9854,0.0431,12.1729,0.0691,24,8.5383,0.0216,11.3096,0.0413,24,8.2058,0.0258,9.8638,0.0048,24,1.148199
137,HD 140385,8.57,G2V," ",5735,50,70,4.6,0.25,0.3,-0.16,0.08,0.08," ",235.56788,29.62293,143542355675497307,235.56788044,29.62286854,0.0,0.0,90.0,268959744,32,51994.06202546,0,5,,,,,64,,,,,64,8.5039,0.0556,11.9545,0.0156,88,8.5843,0.001,12.8791,0.001,88,7.7061,0.0,11.8623,0.0,88,0.22126
138,HD 140235,9.14,G2V," ",5850,60,95,4.95,0.0,0.4,-0.26,0.1,0.1," ",235.57654,3.2273,111872355770083335,235.57684772,3.22746879,0.024,0.024,90.0,276901888,33,56044.58018519,0,5,,,,,0,,,,,0,13.9071,0.0012,12.4425,0.001,16777240,15.2327,0.0033,14.0831,0.0017,16777240,14.1141,0.0033,,,16781336,1.261961
139,HD 142093,7.33,G2V," ",5890,55,50,4.4,0.3,0.25,-0.12,0.02,0.04," ",238.0023,15.23592,126282380020503143,238.00228217,15.23588325,0.0,0.0,90.0,268959744,32,51993.44831019,0,4,,,,,64,,,,,64,7.4348,0.001,,,88,7.2243,0.0203,9.712,0.0984,80,7.1695,0.001,9.102,0.001,88,0.146078
140,HD 149996,8.49,G0,*,5545,60,35,3.0,0.25,0.0,-0.5,0.06,0.04," ",249.57245,-2.44217,105062495717378703,249.57239508,-2.44225247,0.0,0.0,90.0,268959744,32,51968.51528935,0,8,9.2823,0.001,12.2199,0.001,88,8.5895,0.001,11.804,0.001,88,8.3018,0.001,11.729,0.001,88,7.5763,0.0021,12.2194,0.001,88,8.6988,0.0617,9.9958,0.1805,88,0.3566
141,TYC 4193-691-1,11.04,G0V," ",5995,35,45,4.6,0.15,0.2,-0.18,0.04,0.04," ",250.62705,64.36033,185232506264423252,250.62669486,64.36041762,0.071,0.039,0.0,302309376,36,55735.54915509,0,73,11.1711,0.1154,12.7091,0.0756,24,11.2172,0.0014,11.2833,0.0016,1048,10.9165,0.001,10.945,0.001,1048,13.3491,0.0016,12.7905,0.003,4120,10.7806,0.001,10.7681,0.001,16777496,0.636828
142,BD+29 2963,8.42,G0V," ",5865,55,55,4.7,0.25,0.2,0.0,0.02,0.06," ",258.54833,29.56936,143482585483913763,258.54832,29.569359,0.051,0.051,90.0,1409359872,168,51334.36028935,1,17,8.843,,,,114788,8.387,,,,68,8.199,,,,68,8.107,,,,68,8.074,,,,68,0.031518
143,BD+36 3323,10.21,G2V," ",5155,95,80,3.8,0.3,0.2,-0.04,0.12,0.12," ",283.76918,36.18581,151422837693843384,283.769176,36.185776,0.051,0.051,90.0,1140924416,136,51455.08679398,5,22,10.317,,,,114788,9.755,,,,98404,9.571,,,,68,9.498,,,,114788,9.446,,,,114788,0.122951
